seed,feature_map,n_qubits,reps,entanglement,alpha,C,val_accuracy,alignment,effective_rank,classical_control
2024,zprod,4,1,full,0.25,10,0.81,0.23581133139441446,1.7423588304484003,0.8135
2024,zprod,4,1,full,0.25,100,0.814,0.23581133139441446,1.7423588304484003,0.8135
2024,zprod,4,1,full,0.5,1,0.811,0.29963421564084963,3.8865530089148588,0.8135
2024,zprod,4,1,full,0.5,10,0.814,0.29963421564084963,3.8865530089148588,0.8135
2024,zprod,4,1,full,0.5,100,0.8035,0.29963421564084963,3.8865530089148588,0.8135
2024,zprod,4,1,full,1.0,1,0.8045,0.30751727240943816,13.24338982918483,0.8135
2024,zprod,4,1,full,1.0,10,0.805,0.30751727240943816,13.24338982918483,0.8135
2024,zprod,4,1,full,1.0,100,0.805,0.30751727240943816,13.24338982918483,0.8135
2024,zprod,4,1,full,2.0,1,0.81,0.1965008156275388,50.1548654111903,0.8135
2024,zprod,4,1,full,2.0,10,0.7905,0.1965008156275388,50.1548654111903,0.8135
2024,zprod,4,1,full,2.0,100,0.788,0.1965008156275388,50.1548654111903,0.8135
2024,zprod,4,2,full,0.25,1,0.8055,0.2573272769488869,2.0966102849981905,0.8135
2024,zprod,4,2,full,0.25,10,0.807,0.2573272769488869,2.0966102849981905,0.8135
2024,zprod,4,2,full,0.25,100,0.811,0.2573272769488869,2.0966102849981905,0.8135
2024,zprod,4,2,full,0.5,1,0.8185,0.31729710664686506,4.727784854536604,0.8135
2024,zprod,4,2,full,0.5,10,0.817,0.31729710664686506,4.727784854536604,0.8135
2024,zprod,4,2,full,0.5,100,0.8115,0.31729710664686506,4.727784854536604,0.8135
2024,zprod,4,2,full,1.0,1,0.8035,0.34101782439341927,17.221903477151475,0.8135
2024,zprod,4,2,full,1.0,10,0.799,0.34101782439341927,17.221903477151475,0.8135
2024,zprod,4,2,full,1.0,100,0.7905,0.34101782439341927,17.221903477151475,0.8135
2024,zprod,4,2,full,2.0,1,0.7855,0.17521954676901538,68.34290334287141,0.8135
2024,zprod,4,2,full,2.0,10,0.7775,0.17521954676901538,68.34290334287141,0.8135
2024,zprod,4,2,full,2.0,100,0.76,0.17521954676901538,68.34290334287141,0.8135
2024,angle,4,1,linear,0.25,1,0.81,0.16277140253302338,1.1048241542084745,0.8135
2024,angle,4,1,linear,0.25,10,0.809,0.16277140253302338,1.1048241542084745,0.8135
2024,angle,4,1,linear,0.25,100,0.809,0.16277140253302338,1.1048241542084745,0.8135
2024,angle,4,1,linear,0.5,1,0.81,0.1746870973631331,1.3632402239728347,0.8135
2024,angle,4,1,linear,0.5,10,0.809,0.1746870973631331,1.3632402239728347,0.8135
2024,angle,4,1,linear,0.5,100,0.812,0.1746870973631331,1.3632402239728347,0.8135
2024,angle,4,1,linear,1.0,1,0.8125,0.2129379841868108,2.3728629705297255,0.8135
2024,angle,4,1,linear,1.0,10,0.811,0.2129379841868108,2.3728629705297255,0.8135
2024,angle,4,1,linear,1.0,100,0.8055,0.2129379841868108,2.3728629705297255,0.8135
2024,angle,4,1,linear,2.0,1,0.808,0.2817599189231494,7.11809263160036,0.8135
2024,angle,4,1,linear,2.0,10,0.802,0.2817599189231494,7.11809263160036,0.8135
2024,angle,4,1,linear,2.0,100,0.8005,0.2817599189231494,7.11809263160036,0.8135
2024,zz,6,1,linear,0.25,1,0.8125,0.166992962662464,1.7458689681833763,0.8245
