seed,n_qubits,reps,fmap,alpha,readout,val_accuracy,n_params,train_loss,seconds
7,8,4,z,1.0,z0,0.8035,42,0.5219333938600842,12.68
2024,4,2,zz,0.25,parity,0.804,14,0.5813150239030828,0.73
2024,4,2,zz,0.25,z0,0.7985,14,0.5834971566937063,0.73
2024,4,2,zz,0.5,parity,0.806,14,0.49645864521102795,0.75
2024,4,2,zz,0.5,z0,0.807,14,0.49589180975025315,0.72
2024,4,2,zz,1.0,parity,0.7905,14,0.43780987239699015,0.76
2024,4,2,zz,1.0,z0,0.778,14,0.4605302641407013,0.71
2024,4,2,z,0.25,parity,0.807,14,0.6306582756007633,0.72
2024,4,2,z,0.25,z0,0.8085,14,0.6324313708954943,0.78
2024,4,2,z,0.5,parity,0.805,14,0.556395261256763,0.77
2024,4,2,z,0.5,z0,0.8065,14,0.5355472071978511,0.75
2024,4,2,z,1.0,parity,0.805,14,0.4866612673861656,0.79
2024,4,2,z,1.0,z0,0.8115,14,0.48217937320640114,0.74
2024,4,4,zz,0.25,parity,0.806,22,0.577258589271865,0.85
2024,4,4,zz,0.25,z0,0.8065,22,0.5852690753071536,0.89
2024,4,4,zz,0.5,parity,0.8045,22,0.4791346255776057,0.8
2024,4,4,zz,0.5,z0,0.809,22,0.4802950606463798,0.81
2024,4,4,zz,1.0,parity,0.8005,22,0.43004552831411147,0.74
2024,4,4,zz,1.0,z0,0.781,22,0.44236114552889333,0.83
2024,4,4,z,0.25,parity,0.8095,22,0.6352329435648674,0.81
2024,4,4,z,0.25,z0,0.8085,22,0.6344497291440787,0.89
2024,4,4,z,0.5,parity,0.804,22,0.5685539905413839,0.88
2024,4,4,z,0.5,z0,0.814,22,0.5412508592613159,0.89
2024,4,4,z,1.0,parity,0.81,22,0.481544535489652,0.87
2024,4,4,z,1.0,z0,0.8085,22,0.518496148832236,0.83
2024,6,2,zz,0.25,parity,0.807,20,0.5848520658437761,1.34
2024,6,2,zz,0.25,z0,0.779,20,0.6041112965395621,1.28
